Trajectory Time [s]	Flow Trajectories 1_1				
-0.007805173	99.90559588	99.90553333	99.90563836	99.90553515	99.90564116
-0.006926917	98.12662113	98.10341266	97.90792916	98.10346587	97.90800789
-0.006401333	90.01704645	89.90716155	89.04150625	89.90740831	89.04186551
-0.006217371	85.08631387	85.19464895	85.46629535	85.19449069	85.4659843
-0.006138316	87.83326877	87.88156783	89.33763198	87.88147689	89.33740164
-0.006079932	91.95445504	92.00117762	92.03566327	92.00108788	92.03548562
-0.006027958	94.30726848	94.34432729	94.3713347	94.34425685	94.37125416
-0.005984672	95.44987911	95.46907266	95.48389249	95.46903661	95.48382093
-0.005945871	96.46345571	96.48129146	96.49539874	96.48125841	96.49533318
-0.005910858	97.30427535	97.31548498	97.32458233	97.31546451	97.32454172
-0.005879151	97.88735952	97.89842627	97.90763475	97.89840645	97.90759546
-0.005848876	98.46851822	98.47984857	98.48950884	98.47983237	98.48948154
-0.005819897	99.04742631	99.05884152	99.06881262	99.05883783	99.06879808
-0.005792551	99.55406458	99.56367921	99.57225628	99.56367831	99.5722551
-0.005767094	100.0047647	100.013856	100.0221877	100.0138551	100.0221865
-0.005742363	100.4369908	100.4459359	100.4543169	100.4459348	100.4543154
-0.005718531	100.8493067	100.8579294	100.8661833	100.8579282	100.8661816
-0.005696003	101.1344015	101.1402062	101.1458872	101.1402053	101.1458859
-0.005675056	101.3880587	101.3935785	101.3990918	101.3935776	101.3990903
-0.005652901	101.6571079	101.6626291	101.6681438	101.6626282	101.6681424
-0.005630804	101.9262209	101.9317433	101.9372593	101.9317424	101.9372578
-0.005608765	102.1781654	102.1826631	102.1871572	102.1826623	102.187156
-0.005586775	102.3972368	102.401733	102.4062257	102.4017323	102.4062245
-0.005564833	102.616236	102.6207307	102.6252219	102.62073	102.6252207
-0.005542937	102.8351574	102.8396504	102.8441399	102.8396497	102.8441388
-0.005521087	103.0539953	103.0584866	103.0629743	103.0584858	103.0629731
-0.005499279	103.2184858	103.2216876	103.2248907	103.2216871	103.2248899
-0.005479481	103.3608232	103.3640567	103.3672917	103.3640562	103.3672908
-0.005459711	103.504543	103.5078076	103.5110739	103.5078071	103.511073
-0.005439969	103.6496211	103.6529164	103.6562134	103.6529158	103.6562125
-0.005418284	103.8062476	103.8085808	103.8109207	103.8085804	103.8109201
